Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
2,15,233122,22,570,876652,1803382,11
3,30,695210,70,630,1688680,8289280,12
2,15,462382,52,120,1210215,7497000,13
3,31,255760,41,578,2048996,2403275,15
2,22,437283,11,11,1453793,10805201,12
3,30,480130,60,580,1508590,6415230,4
1,4,152504,40,44,402528,575000,5
3,28,643645,74,513,1581244,8859648,13
3,25,416825,75,750,803825,5408933,13
2,21,277116,31,357,1695120,6239541,5
2,21,288876,73,850,796183,1766320,7
3,31,302508,72,485,1844035,3322011,6
3,39,515541,52,689,933816,12104495,4
3,27,405639,54,360,865854,6185169,12
3,32,310624,74,1013,875498,2139296,5
2,10,251140,35,220,828160,1253905,10
3,37,595428,12,1023,1324402,5633274,9
1,4,122332,36,392,630076,2821068,12
3,39,484471,117,1261,2491710,12042563,14
3,28,584845,65,849,1155233,4841377,3
3,31,774958,62,72,1592449,6297216,11
3,29,319116,77,493,1255787,2554513,6
2,24,322128,60,912,2203428,5641476,4
1,5,140060,50,190,372330,1778870,10
3,38,860180,50,532,2428314,9107966,7
3,30,651450,10,590,845740,1651420,5
2,7,82316,31,350,611439,2350698,10
3,35,240228,35,933,1237658,7991643,14
2,13,278512,45,331,446030,4024436,7
3,38,936092,38,304,2227370,9599509,6
3,38,531721,76,823,1266198,12198570,14
3,28,238784,74,914,823181,4816970,14
3,27,473184,54,18,1612332,2477277,9
2,24,252780,48,1176,656136,9900240,8
2,13,395668,19,117,1105019,5254808,10
3,30,269910,20,1000,1685370,809300,8
1,6,373320,30,222,688494,726450,7
3,31,244486,82,330,1832162,2903873,11
2,14,487984,42,413,717843,1046738,4
2,18,260919,27,504,1465398,2187360,4
3,37,676027,111,24,945325,10370360,4
2,9,174321,27,409,660717,3015769,1
1,2,43078,14,146,355734,629646,4
3,31,402586,72,909,1664793,8832530,11
2,10,335650,35,415,767660,4693330,11
1,6,344340,48,402,929202,5729958,12
3,40,966973,133,880,2306413,1785733,11
3,37,893241,37,666,854108,10389230,14
3,29,376478,48,222,1174432,3285052,5
2,23,807863,11,563,1892417,799204,13
3,34,578578,102,997,1405254,7495266,7
2,12,288402,48,246,374256,4472850,4
2,18,574794,72,387,1680408,4095693,3
2,13,360113,65,45,409214,4721515,11
1,4,177908,24,108,653796,2973416,10
2,16,246912,8,480,1473992,1029096,3
2,9,200272,4,270,847881,4161600,12
3,35,243401,116,525,1469136,4780836,2
2,15,439350,15,675,1052850,4411327,4
3,28,567662,18,438,962780,6778044,11
3,38,675665,126,114,1176264,6128652,12
3,25,249858,16,400,1648341,2241650,13
2,10,215155,20,335,357645,2428655,4
1,5,141580,5,240,561330,413300,10
2,18,522891,36,333,1748430,4864383,6
2,10,266105,10,370,258710,1384740,11
2,15,325597,60,705,1150057,2420910,1
2,23,838488,23,759,1712200,7286124,3
2,17,222861,85,229,1498652,2370786,15
1,3,70290,3,171,572130,1685985,8
3,25,548791,58,33,1219591,1871991,10
3,40,511266,13,120,2080240,3397040,5
3,28,196830,74,261,958626,3122046,12
2,14,229054,70,308,997682,517034,1
3,30,581440,100,200,1050560,8466600,1
3,30,653950,30,340,1414450,7460620,6
1,2,113442,10,162,350798,1125634,5
3,38,774326,88,747,1544358,5355048,10
2,16,441528,80,544,1474056,6592288,5
3,39,617994,117,1118,1943773,6317012,7
3,37,689606,61,1233,759141,8878372,13
2,17,515431,17,476,1050455,8292251,6
3,28,432618,65,345,532270,4113722,2
2,9,138240,45,261,500301,1038712,11
1,1,61751,8,55,180157,251451,7
2,20,430640,10,680,1450630,2596640,13
3,39,754195,65,871,2547506,1535703,6
3,29,520356,77,744,1007875,3754649,8
3,33,414084,77,858,1557600,4580169,15
3,36,773760,12,576,2175660,5277036,6
1,5,241575,45,335,631380,467505,7
2,11,111622,33,517,900119,1445812,14
2,22,758219,22,638,1257872,3316544,1
1,2,127820,20,122,318294,1941626,5
2,15,517290,15,337,564630,6117495,3
2,10,328585,45,470,407155,3653865,5
3,25,284650,33,358,455433,2376441,11
2,9,222498,9,418,466641,2141622,13
3,31,274370,41,413,799717,4720876,9
2,12,187884,6,546,309810,3987900,14
3,32,547338,96,778,548458,3790880,13
2,21,464961,21,829,1947057,6808084,9
3,33,762729,99,517,909865,6624783,7
1,5,101590,25,440,827115,508195,9
2,11,275016,38,170,546821,2376544,10
2,15,178635,15,555,387607,2709172,1
1,4,186112,8,96,793264,1526556,7
3,37,627594,49,135,2340336,3861468,10
3,37,815147,123,629,1074406,11902049,13
1,6,442182,36,282,1029186,5865456,12
2,17,616641,8,552,581935,3192906,11
2,19,496128,9,617,1609699,3760831,15
3,28,617353,37,168,505549,5110672,2
2,11,374693,55,313,746823,1931974,5
3,38,931722,88,1114,1425848,5113850,1
2,14,293923,35,637,915474,1521968,9
2,17,323994,51,680,1480972,3257361,3
2,7,83289,31,287,626885,734685,10
2,21,264201,84,577,2039856,6447735,7
2,17,501585,68,433,588336,5364001,6
3,36,536424,12,540,2374728,1052412,7
3,32,373365,10,1013,767221,10120373,11
3,30,675910,20,10,1371380,8814630,6
1,5,143820,45,425,812150,4576780,14
2,17,606551,25,646,1035784,2120979,10
3,25,596966,75,416,930650,6575116,12
2,17,278086,8,221,1423826,6461190,13
2,18,597591,81,684,1465749,6914313,11
3,40,547866,26,266,2595946,4161786,9
1,1,57346,3,55,92584,261029,12
2,19,639739,9,817,1275707,579566,12
2,10,345690,45,200,495005,703130,14
3,38,371133,126,658,2081804,4238976,6
3,39,859300,65,1222,700063,3182296,7
1,1,35875,1,27,109478,674562,4
3,34,499369,45,45,1875598,6829523,6
1,2,90988,10,80,262630,674670,12
2,20,500770,70,740,1673450,6684870,12
2,13,375427,65,559,997158,2648132,2
2,18,313785,36,468,1486854,2614131,10
2,9,284238,13,117,340713,626791,11
1,1,28479,1,83,155723,507753,7
3,32,544160,32,160,1953226,4964789,8
3,33,280489,33,484,949179,9081677,1
3,27,231561,18,585,1389708,8560809,13
3,29,678348,87,899,616762,3170927,11
3,30,632650,100,340,970020,5090490,10
3,30,223130,60,900,778780,897330,10
3,39,704236,117,1170,679458,8953113,1
2,13,229456,52,344,465068,506207,5
3,37,578717,12,555,1875419,8650526,8
2,22,521323,99,1001,1059993,1039555,15
3,26,410271,52,736,539699,5251982,11
2,23,309821,80,437,1238607,10149014,9
3,37,710893,123,604,2199058,11273468,12
2,15,324945,30,585,614910,7479285,1
3,30,539090,70,410,835030,4873520,12
2,14,161875,56,315,1310883,1909719,12
1,1,73294,10,57,194064,869864,13
3,27,485703,45,549,1658763,799947,4
2,8,160972,4,212,227796,972800,14
1,6,214308,36,330,575928,4891932,14
3,30,414780,80,590,1337910,8252100,14
3,34,671794,68,306,890086,5134963,4
2,16,419184,80,312,1062256,1155160,5
1,3,71241,6,210,514941,1582986,5
2,10,212545,45,330,456865,1745920,3
2,12,275178,30,78,1080030,727122,4
2,16,515728,80,768,711240,3436592,14
3,37,880291,111,1233,987986,5170429,5
2,7,76958,31,283,696699,2221257,1
3,28,438218,65,401,1710025,1046126,9
3,31,756947,41,857,1165238,1551498,2
1,4,183156,32,72,311956,767796,10
2,10,267805,20,145,981540,529855,2
2,12,174834,18,276,460980,5966190,10
2,20,616790,20,570,697220,3864060,6
2,20,500130,30,540,750300,5939230,14
3,30,245430,90,620,1867570,4664840,8
2,21,278806,84,1029,1032496,6690012,4
3,26,625586,69,329,631713,6609824,8
2,9,214420,31,31,524119,1283566,1
3,26,376159,26,780,1308476,2105549,7
2,20,724670,10,270,1283370,7812660,5
2,19,580583,95,427,1479568,3639127,5
3,26,509946,17,407,932906,2011308,12
1,5,161370,40,30,736595,1492150,3
2,24,310680,108,252,1706484,4136916,14
2,10,250640,25,190,511630,2646740,15
2,11,366916,55,539,968044,4815899,12
3,25,180075,58,533,1523300,6643408,8
1,2,81984,10,108,351568,1555998,9
2,13,152119,39,182,1237541,2104979,6
3,30,689900,80,490,932080,7695360,5
2,22,618717,55,88,972939,3441460,13
3,32,571061,42,608,577450,5654741,12
2,8,150816,28,104,255152,3497332,5
3,32,545653,42,704,2127360,9075050,2
2,15,510615,37,262,1087305,935092,3
2,17,470781,85,671,958494,2960295,9
3,32,747637,42,426,864554,5010410,10
2,7,232078,3,63,522116,3397880,10
1,1,45773,9,10,86357,801474,13
2,9,222012,40,157,530181,3764178,7
2,17,555849,25,799,1218560,4499483,10
3,39,460252,117,1001,1982214,11064469,13
2,13,208110,58,247,825591,574827,13
2,23,516614,46,345,892848,6371920,5
3,39,670943,39,1157,2078804,11465753,14
2,7,258198,24,248,575995,417816,3
2,8,222136,24,236,382728,1173316,10
3,30,692500,100,670,1140590,9118120,1
1,5,343230,5,405,891335,861400,14
3,40,603760,66,480,731866,1963986,12
3,25,493741,75,808,638641,7488391,8
3,28,256750,28,830,1781005,2470010,14
1,3,152835,21,225,327018,2130963,1
3,32,707456,10,650,1936480,546154,14
3,32,707093,53,960,597525,1286464,1
3,35,268555,105,735,1872523,7609525,3
2,13,424034,39,442,545096,6067418,8
2,19,595279,47,152,1073595,4657071,10
2,17,559665,85,314,781626,1398352,12
2,10,110685,20,215,796575,392400,8
2,23,395830,80,874,855209,6757181,14
2,12,331614,54,168,901314,568392,14
2,8,200260,12,236,433824,1523036,4
1,4,120532,20,332,435660,3684056,5
3,38,742735,63,177,2034494,4984004,2
3,29,418421,9,483,1514718,8832520,4
2,13,396662,13,52,720947,2728375,15
3,38,578676,88,658,1571958,3751499,5
3,38,469084,25,392,1663424,9277598,5
3,39,685750,117,1105,2296450,9621586,12
2,9,295132,9,436,424494,1015258,2
1,5,154325,25,320,961680,2424845,7
2,10,373800,45,275,531590,1817805,8
2,14,384804,56,567,507220,2370172,14
3,26,649246,78,762,638369,3787593,4
3,38,485158,12,1165,1864647,5449326,9
2,7,249053,28,192,401313,3246033,7
3,37,742170,86,407,844710,3593008,1
3,37,767959,24,246,883153,9778471,11
2,19,697062,57,494,1286252,3372975,4
2,19,629242,95,513,1067372,1826584,10
3,30,594790,30,770,1960410,8809280,8
1,3,223983,9,18,570402,2191482,6
2,13,171593,26,409,587346,429611,13
2,7,126598,3,143,681793,825328,15
2,7,116039,28,199,249658,325846,12
3,34,697646,102,748,1315539,7953302,12
3,37,787594,49,1208,1680096,4710026,2
2,17,357272,76,229,1148571,3333887,11
2,22,298573,66,308,1506945,4689223,12
1,2,49742,4,24,252100,225776,13
3,29,244721,38,725,786161,868115,6
3,27,272268,90,495,1752354,891801,1
3,31,623575,20,51,718497,6985808,15
3,25,413141,25,650,1043850,6441450,6
2,9,297310,31,126,266422,2191320,10
2,20,659900,50,700,1787600,2045150,7
3,34,806378,68,56,793174,3889940,10
3,27,236214,63,162,452385,1073781,12
3,34,277054,34,759,1478116,1740822,14
3,36,837120,36,540,1479348,1701600,7
2,10,277610,30,475,902295,3970385,9
1,5,209730,5,190,856430,1626870,2
2,10,321800,5,130,637200,2783790,10
3,34,799668,34,260,1228828,9691881,7
2,15,213750,52,517,816217,4638262,3
3,36,854340,84,300,1176792,1333056,8
2,14,511196,21,210,1119293,3108231,11
3,29,583741,19,744,1046039,4660406,10
3,35,781818,105,70,834680,6862275,11
2,15,354360,30,405,1111290,2844570,11
1,1,49636,2,86,153800,82162,7
3,35,494503,46,501,914293,2556295,4
3,30,707860,100,650,1010830,9909420,5
3,35,742326,70,350,1793481,2428136,5
3,32,609045,10,96,883669,5679360,8
2,12,421206,42,432,558258,4610478,15
1,2,60618,16,176,149598,1104766,1
2,18,318222,9,387,998307,5359059,12
3,33,574662,88,704,2199780,9959576,5
1,2,132180,8,188,108734,628806,3
3,26,368342,26,442,500673,2079410,4
2,9,152388,22,378,566118,3065751,14
2,22,562815,44,660,962434,7604311,11
2,8,240992,16,204,404328,312872,12
3,33,401225,77,363,750508,8688174,8
2,24,721932,12,828,2284692,4386120,9
3,36,472860,120,456,1368156,3429396,9
2,11,348337,49,539,359392,375210,10
2,11,158900,55,308,910514,1331209,12
3,36,393276,72,360,1663392,1697532,2
1,2,52576,20,132,339210,796840,12
2,16,462152,8,384,493304,7232552,2
2,15,329797,37,232,859582,4977825,2
3,31,598176,10,992,1238264,8595535,9
3,35,588373,105,711,1468156,2289840,11
2,13,408889,65,650,540995,604558,6
1,6,139836,48,516,1169952,4416804,10
2,13,260104,32,598,867659,4980885,3
3,36,613272,48,1056,1070124,1108464,5
1,4,263768,28,88,266876,1597928,10
1,1,40750,3,61,190965,510791,2
2,23,786853,34,862,2285211,10273042,11
2,7,157521,28,241,352716,407862,10
1,2,83370,10,182,122636,1257914,8
1,5,157535,15,415,936565,1390585,15
3,38,344090,63,228,2380130,6027180,15
3,39,972452,39,767,2031640,2956070,1
2,13,439686,39,500,1211593,3361683,1
3,33,460592,88,627,2069419,1541804,2
3,28,454869,18,830,900638,7828454,1
2,23,592123,57,920,2229551,8506722,6
3,25,277741,16,108,448650,6428816,10
3,32,633504,42,864,1389258,6246730,6
2,24,566352,24,540,918480,8531688,2
3,25,199808,50,66,767941,7962475,12
3,28,304378,46,877,1725845,2376117,11
3,35,606025,46,233,1529990,816503,8
3,27,664515,54,900,1237680,3500847,8
2,8,143700,16,296,493388,929760,15
3,28,294728,37,177,1826477,1192660,5
2,16,185832,80,424,1576992,6217408,4
1,3,170502,9,54,249087,2953035,5
1,4,116428,24,292,783272,1081848,1
2,21,546168,21,52,1707184,5478049,2
1,1,58342,10,6,96929,577392,12
3,33,777513,33,99,588797,5274555,13
1,2,67228,16,30,234990,1514972,5
2,19,627133,57,589,1639472,2525290,4
2,7,82187,7,185,253876,2501271,15
3,40,484026,120,293,1256600,8323026,2
2,12,348582,36,342,838890,2730858,15
2,17,476102,25,697,1233299,3296036,8
1,3,142830,15,96,180393,2402007,13
3,34,799283,102,124,1139170,5952221,4
2,23,822123,23,218,1267990,8039857,12
3,37,480087,12,1196,1388930,2073603,3
2,7,191635,17,28,438067,2158478,5
2,11,304095,38,154,359821,4621111,9
3,32,366730,42,874,2042069,6986005,3
2,15,281707,37,652,560407,6733822,4
2,19,685387,95,864,615106,5709072,12
2,23,484897,57,425,1761041,5731002,5
2,17,489226,51,416,910758,8267839,3
3,28,200694,28,700,1493688,6429518,7
3,33,396583,22,1067,675433,3713336,8
3,34,236311,11,589,1624440,10664258,14
3,40,273533,133,786,2157426,1380800,13
3,34,450862,90,56,2108510,7370225,7
2,7,121425,21,329,292341,2661694,2
2,10,320690,45,405,338665,1115875,6
2,13,401264,6,305,461201,1761272,15
3,28,233137,74,317,580225,2795361,4
3,40,762026,26,1093,2529893,3040893,2
3,25,356491,16,716,826841,760858,3
1,1,67061,5,84,181938,846021,1
2,14,497091,42,294,1203041,6684412,15
3,26,278928,43,60,544856,1003140,13
2,11,200519,11,368,562325,3668665,9
2,10,352320,50,425,486990,2622750,8
1,1,49992,7,78,99740,190545,14
3,32,280021,32,992,737898,727413,11
3,37,658994,12,666,1593417,7226556,4
2,23,823423,34,747,1339106,1969570,9
3,39,582582,13,351,2291068,2524158,11
3,32,726688,21,437,1396842,8737258,5
2,24,338916,24,240,743220,2580912,8
1,3,71400,12,165,598584,2668275,14
3,36,890268,96,360,759024,9514176,8
1,2,54628,12,86,192526,1909598,2
2,23,565006,80,322,1656161,3926192,10
1,5,332065,40,435,563165,4471820,2
3,33,526933,33,22,900042,5787210,5
2,14,302827,56,84,1100575,1011262,2
3,26,271240,86,338,1221046,8385702,5
1,6,352056,6,288,938076,313980,10
2,19,403379,66,912,1246979,3754533,7
1,3,214938,9,123,504906,2168643,9
1,2,132998,12,192,150650,278304,13
3,38,801166,50,975,1152388,7793926,14
3,27,272664,72,738,1000332,6609771,5
2,15,549600,75,742,1296802,3871612,14
2,16,349240,72,112,828936,1474936,1
2,16,533504,24,104,1249808,4409952,15
1,3,63504,27,297,431733,864507,15
2,14,175812,35,469,451017,6464885,1
2,22,680702,99,473,1996951,9800967,8
2,10,141665,35,125,403095,1669135,1
2,16,239008,64,224,1045136,1875200,2
3,38,412464,114,240,729346,4177631,1
3,27,211608,81,63,1794546,8843832,7
1,3,153408,12,231,428502,845955,5
2,19,578464,66,665,1012453,3369165,7
1,4,269320,24,32,380020,971688,12
2,9,313609,13,225,606717,3490785,13
3,38,645658,88,836,2259480,11963413,8
2,8,232176,40,4,314020,2512148,14
2,12,321354,36,234,966306,2871198,11
3,32,346901,96,554,1265322,2392597,10
3,27,245358,90,387,1439829,968058,8
2,10,176445,15,100,556180,3657230,12
3,29,200796,77,551,1145867,4958487,9
2,18,289413,63,558,1550565,6846849,1
3,28,540297,37,644,1804833,2243416,9
3,29,550284,9,328,1842302,6815386,12
3,27,330219,27,45,675045,3175821,14
3,28,680540,93,746,1771382,2064318,2
2,21,666057,94,934,769324,8557710,15
2,13,374816,52,253,779389,990242,12
2,18,498618,27,684,1631034,8676954,5
2,21,355813,42,451,1869420,760399,4
3,30,331610,70,800,1608650,7030370,12
2,24,870636,96,372,1498308,11495880,8
3,33,606639,77,924,1243957,6080833,2
3,30,380520,40,60,702340,3391800,8
3,26,356867,34,355,1176612,7274774,8
1,4,122984,28,272,373624,978884,15
3,38,568442,88,1038,1460327,12610844,5
3,36,281484,96,1092,1847412,10360188,15
1,2,141308,4,60,237628,405930,12
3,29,553648,9,570,600445,4202718,1
2,19,660155,19,484,1524930,4313988,12
3,28,279272,37,130,533036,6576761,6
3,32,468874,106,181,1393834,8092352,12
2,24,264300,120,828,898032,2947044,15
1,2,105302,20,152,154266,310450,4
3,26,223045,86,684,1387602,3202550,5
2,14,197365,14,385,643020,2647204,2
3,37,439461,24,579,1663039,7467327,12
2,20,254430,20,230,1020730,917290,1
3,29,511966,87,647,808568,1476728,4
2,15,180502,75,157,509332,3150060,11
3,36,746064,108,48,1855308,6966144,14
3,28,396536,28,522,1304968,7736101,1
3,27,332919,18,765,1131453,1473138,13
3,37,514250,37,949,1834891,5550049,6
2,23,307556,57,1138,1284285,4257438,14
2,18,480996,9,297,1744209,8613216,4
2,11,339647,11,451,352533,2917057,6
2,22,786830,11,814,578589,5575295,12
2,7,109382,10,318,288396,834823,7
1,3,146574,18,93,462084,1178592,6
3,27,533484,9,567,456480,5315625,1
3,32,643050,42,480,919808,9563658,1
2,19,326353,19,399,753777,1704813,7
2,24,638832,120,252,1901208,8406504,10
2,10,371145,5,305,974835,3405120,4
1,6,157428,24,534,983040,5041500,6
1,5,246380,35,290,313380,1625165,3
2,15,522457,67,427,961507,2658982,8
3,37,866959,49,357,2335366,11270977,10
3,39,856622,26,1287,1891877,5552911,7
2,20,749590,100,800,1991190,2344790,6
2,18,336744,18,306,1713987,3048804,3
3,36,783324,96,984,1528968,10900392,13
3,32,551264,21,917,1654314,5706496,1
3,26,568819,52,199,920166,3524594,5
3,40,698973,66,160,2436733,10233013,14
3,29,215334,58,831,1715553,2483192,12
2,10,140220,5,95,996755,1251150,5
2,17,242581,51,297,873961,3533101,6
2,11,157822,33,341,597756,4134949,15
3,40,430800,80,106,2527826,8496293,6
1,5,207195,5,350,952025,4272125,15
2,10,128730,40,475,677240,4249090,3
2,13,156832,32,13,979160,5708254,8
3,26,556096,60,814,1020196,6600126,15
2,20,470340,80,590,1595700,4301900,3
3,39,667966,117,936,2367456,5594212,15
3,32,795648,21,608,1255744,6893802,8
3,39,692003,52,130,1473810,4506827,1
3,40,925413,53,66,1048626,9136040,5
2,7,110803,28,70,673050,1591555,8
1,1,31639,3,64,112228,422306,3
2,19,273467,9,750,1748047,3062572,2
3,37,820376,86,382,949962,2798507,9
2,7,87864,14,294,285803,471957,11
1,6,257292,42,372,1102344,2635944,8
1,4,228264,20,144,647548,2118424,13
3,25,532841,8,683,1175291,7915625,5
2,21,234370,84,777,1863792,1563387,6
3,36,669456,72,1188,1629336,10055820,7
2,18,644040,45,387,514260,8547894,7
3,30,404190,70,250,804960,7205700,13
3,29,323572,96,512,1865589,7389441,13
3,32,257493,10,330,1255989,5878058,13
2,12,349740,60,216,1107036,2629620,1
2,18,209529,90,693,1289268,6109632,15
1,3,212763,3,69,367785,1413987,13
2,13,244497,19,611,495111,930098,12
2,19,379240,76,332,658749,1505493,2
3,27,295479,36,783,1213992,6260346,8
3,36,361212,48,792,2292660,2741976,1
1,2,98662,2,122,371382,1148698,1
2,10,347390,45,265,990355,2765825,13
2,23,590352,46,966,607246,6742231,5
2,8,145728,4,4,222348,291644,9
2,11,339652,49,511,416757,5161073,6
2,18,454644,18,234,525816,5081229,1
3,33,762520,99,638,2163260,3656752,4
2,18,554634,81,306,1074537,1223892,2
2,15,543885,52,667,1228117,4695652,3
2,24,396276,36,1044,2185716,11361216,13
2,19,320264,47,95,1081223,6180120,5
3,30,469960,80,840,973410,7905920,6
1,4,151520,40,148,295128,549392,14
3,25,401125,8,766,1164516,6829533,12
2,16,428512,56,8,593816,6647384,15
3,25,384600,8,258,603216,618925,13
2,23,678994,80,632,2138540,1467952,11
2,16,554152,16,104,400600,5574568,2
3,36,309672,12,360,1915068,5986452,8
3,30,639940,50,970,1761090,6269230,3
3,35,477015,93,711,817576,4256863,13
3,34,842474,34,974,2167760,7763990,3
3,37,324083,111,24,821733,9345805,14
3,31,342519,93,41,1851113,10299130,7
3,29,272580,29,290,1313564,3543036,1
2,13,257491,6,299,595978,5700500,15
2,18,365310,36,234,499734,7448427,9
3,29,598415,9,174,1641554,7273499,1
2,17,244995,25,340,1084625,1067183,4
2,19,242487,9,836,1514195,9117957,8
3,30,457750,20,430,907050,1242110,3
3,40,938080,120,53,750960,1378200,12
1,6,377214,12,552,705852,3583464,1
2,8,117076,8,164,770704,1694296,15
1,4,122396,40,224,439452,824088,13
2,11,311261,33,49,658460,1483889,1
3,34,693838,102,691,1976159,9536841,10
2,20,717420,10,930,1630540,1870450,6
2,11,339482,49,231,502892,2021321,2
2,8,180288,36,356,236204,2653980,2
1,2,125772,16,4,242986,168876,5
3,40,831080,80,920,1318640,3483600,15
2,9,178069,45,256,471942,1261822,13
3,28,375377,9,270,1381016,1033657,5
3,35,570056,23,23,2110861,3997233,12
3,37,827542,37,937,2167139,3667267,5
3,37,353411,98,690,2304680,3194580,3
1,3,188121,15,249,218646,2605437,15
2,20,654650,50,380,598710,6492900,4
1,1,36444,5,37,197413,593368,13
3,26,335122,8,840,752388,1086618,6
3,40,532266,80,400,1143880,8545866,13
3,40,753013,80,786,2661293,11334506,7
3,27,370143,63,801,837963,4495581,5
2,9,246334,31,49,858793,3183205,10
3,25,408141,50,558,1052916,4950733,2
2,22,442827,55,132,913165,4163621,13
2,10,240055,20,130,293490,2958890,3
1,3,160914,30,90,375093,1135284,11
2,24,513744,48,1152,817512,2308800,14
3,40,723013,66,1226,1701626,12489400,5
2,15,182272,22,660,829695,516300,7
2,20,264730,10,700,1604450,6329440,11
3,40,296920,66,840,2159973,13020226,9
1,4,99452,40,176,267140,2208388,10
3,34,647949,113,113,970360,2156076,8
1,2,112718,12,120,283534,458488,7
3,40,912653,13,240,1994786,11606466,6
3,37,280410,74,1073,1314252,5071590,8
3,30,735540,30,920,1476510,7958170,15
3,26,322122,34,26,1090960,2382397,12
2,21,511570,94,976,567703,10126578,5
1,5,114665,35,385,276375,2973230,8
1,5,175815,5,345,449440,336520,15
2,10,149155,15,230,571310,2858450,7
3,29,303243,77,9,1716384,3745756,11
2,19,690137,28,342,693984,6207727,11
2,10,123840,15,485,315680,3838385,2
1,2,108296,18,44,384654,1125460,13
3,27,182133,90,360,1381410,6677829,13
2,17,452846,51,680,628218,5643209,12
3,30,375290,100,460,1169260,6661610,2
3,28,388528,46,270,483802,2029981,13
3,35,385478,46,326,1946828,1253711,5
1,6,338400,60,480,1018254,1444038,10
2,15,306105,30,585,937590,2418165,7
2,13,414219,32,175,338702,6025181,8
2,11,335428,27,517,980914,2319933,1
2,13,274313,65,58,865091,1671501,1
2,19,359841,95,114,535030,1124049,7
3,40,749640,13,1333,1408213,8343333,4
2,13,353541,19,6,632528,5899712,12
2,17,596300,68,646,451885,3216009,5
1,4,271988,4,260,307768,738616,11
3,25,385566,25,116,1043150,5194200,10
2,15,470212,22,60,1000102,1575855,3
3,35,430978,46,560,643498,5889566,13
2,8,228728,8,200,794108,1781480,7
3,25,588708,16,150,912991,8015250,13
3,33,577324,110,968,1359611,920964,11
2,14,151431,56,91,898891,2441964,9
1,4,292116,40,20,238684,2903352,5
3,34,297590,68,510,970620,1145176,8
3,28,652362,28,401,470493,1643684,15
2,21,223597,52,945,1731061,8415067,13
3,25,216450,8,191,595025,3327691,12
1,2,128426,10,188,271896,1959768,13
1,5,368520,35,380,334530,2630510,8
2,8,99200,24,308,489656,2734976,13
2,23,293342,11,1012,1024857,4876115,11
2,21,257071,94,1008,1151892,6875704,13
2,10,186275,50,75,559215,1300540,14
1,6,264984,42,420,337584,5593974,1
3,26,406761,60,650,1245660,4868950,7
2,24,834600,120,108,1203612,4015584,13
2,21,367395,21,84,1929942,6170188,6
3,31,542613,72,237,1345730,1101874,13
3,25,463091,16,758,1368241,879016,14
2,10,267255,50,80,510865,749690,6
2,10,192905,10,420,864050,1225570,9
3,34,839063,113,578,1369973,1833370,13
2,21,404754,31,283,1236123,5514390,11
3,26,439833,78,511,811113,1621412,5
3,25,457283,83,91,676833,7989075,9
3,35,633756,46,1038,1609020,4078538,12
2,19,332500,28,674,1667962,1312852,10
2,10,267970,50,490,777395,2233170,1
2,7,167170,17,346,313484,2915664,8
2,7,118009,7,164,696388,1354713,10
2,20,357480,90,730,1869730,5177580,11
2,14,457562,49,532,641753,3990322,1
3,39,355758,117,793,1343290,8189246,1
3,40,744960,26,133,1353986,7770906,1
3,31,534388,31,289,1880852,4455413,5
2,10,257470,45,165,687965,3411905,5
3,26,565994,43,69,1098179,2007295,10
2,16,332896,80,432,1578608,7343488,11
2,11,331265,38,231,398959,2025996,14
2,21,777640,42,430,1985046,3577875,1
2,14,420091,35,504,1357405,6295352,5
3,38,868312,114,937,1218482,2542200,1
3,36,822216,84,672,1865364,3432036,12
2,8,267268,28,44,368976,3699640,2
3,30,235620,90,200,1723390,5841020,13
2,19,629432,85,19,1851844,4906987,12
2,12,145500,30,480,811410,1736424,2
3,36,843684,96,420,1494756,1867224,2
3,38,314703,114,1241,1420782,5501158,7
3,26,320346,60,745,1318252,5008813,14
2,13,285012,26,130,1283080,3827076,14
2,24,610668,36,588,2366304,8044740,14
2,24,707856,60,1020,1122372,7802064,9
3,26,536094,43,459,1051058,1560268,8
3,35,279486,70,116,2147600,7272813,8
2,15,263497,37,127,666322,5957122,14
2,9,225954,4,436,588757,2424847,14
2,15,481095,37,450,872100,7100475,8
2,18,666666,9,657,970848,4793832,5
2,11,221727,11,511,950669,5398915,8
3,36,849048,60,408,2048100,4492464,2
1,3,217689,27,171,390636,2843730,6
1,4,267888,24,344,348628,1058576,8
2,20,541180,70,140,1045520,5380270,6
1,6,130782,18,24,913680,3125832,4
1,6,126588,6,60,1091178,878052,10
2,21,350427,52,619,1659168,9535155,10
2,10,296440,10,105,706195,3353895,11
2,12,207450,36,276,440448,3552966,4
2,9,290259,45,166,868221,2313351,9
3,25,487050,58,283,629625,5373791,14
3,30,305940,20,140,1153290,969930,15
2,7,248251,3,63,423895,1916911,8
3,39,353613,65,377,2352688,7981727,6
3,38,379683,114,620,953990,8871049,9
2,16,256248,72,144,1280552,6049456,14
2,18,331623,45,459,1434798,6177312,10
2,17,351866,42,68,918748,4698757,11
3,33,607805,33,440,1879724,1432145,9
3,39,565812,65,364,2496806,9316502,15
3,28,313908,18,756,1333229,7777821,15
2,13,370903,52,416,676461,3066453,1
3,37,833462,24,703,2117325,1400696,3
3,28,543582,84,74,1119757,1851089,6
1,6,189612,54,276,529374,3081078,15
3,40,335666,120,146,1488266,6731586,1
1,2,72828,10,106,378560,547986,10
